"Iteration" "Assoc_Stat" "S_IBS" "S_AM" "S_AS" "S_LIN" "S_REC" "S_QUAD" "S_012" "S_123" "S_124" "S_h1" "skat.kernel" "tree1" "tree2" "tree3" "tree4" "tree5"
"187" 67 "SKAT" 0.10920813488737 0.10920813488737 0.10920813488737 1 1 0.0803486187414596 0.109975931993137 0.109975931993137 0.154909431375539 0.109975931993137 0.000798333589802191 0.256908263636602 0.256908263636602 0.344027397693554 0.33726580954218 0.337265809542179
"192" 72 "SKAT" 0.0881435006290837 0.0881435006290837 0.0881435006290834 0.314925597776764 1 0.181408920965997 0.105145385437798 0.105145385437797 0.134882762078875 0.105145385437798 0.0096492331439253 0.229169150740688 0.229169150740689 0.0823856825742423 0.0668328742069669 0.0668328742069666
"195" 75 "SKAT" 0.00554596232448445 0.00554596232448445 0.00554596232448457 0.972195349599722 1 0.043911610128094 0.00949017862193013 0.00949017862193025 0.0182038413435914 0.00949017862193025 3.07496774584193e-05 0.0256084758347852 0.025608475834785 0.0263497324679396 0.0271128030125287 0.0271128030125292
"196" 76 "SKAT" 0.357168570686527 0.357168570686527 0.357168570686526 0.96854828604122 1 0.993994626365077 0.387345990575877 0.387345990575878 0.535846297806309 0.387345990575876 0.00643021917817044 0.407642070478579 0.407642070478578 0.565425151864351 0.569986753232078 0.569986753232076
"198" 78 "SKAT" 0.43643104018651 0.43643104018651 0.436431040186509 0.954499036844769 0.998911068386871 1 0.544851076934859 0.544851076934857 0.615592953589694 0.544851076934859 3.84214771556035e-05 0.703843589996986 0.703843589996987 0.22232176956451 0.200540543824157 0.200540543824158
"200" 80 "SKAT" 0.190322731014353 0.190322731014353 0.190322731014353 0.999892665922745 1 0.823437277774742 0.216261063651661 0.216261063651661 0.286674724704417 0.216261063651661 0.000435775743507949 0.466261901835523 0.466261901835523 0.169637296264845 0.172907363356459 0.172907363356459
"202" 82 "SKAT" 0.0574176307159621 0.0574176307159621 0.057417630715962 0.0557971935078223 0.999964922437905 0.567132162208644 0.0720910679952981 0.072091067995298 0.0973280763019613 0.0720910679952984 2.03949650219304e-05 0.0617586847001281 0.0617586847001282 0.228608083235182 0.260536971273666 0.260536971273667
"212" 62 "GTSR" 0.078 0.078 0.056 0.84 0.994 0.906 0.09 0.298 0.524 0.138 0 0.448 0.448 0.022 0.034 0.034
"214" 64 "GTSR" 0.334 0.334 0.4 0.92 0.978 0.92 0.338 0.612 0.62 0.288 0 0.972 0.972 0.02 0.028 0.028
"216" 66 "GTSR" 0.392 0.392 0.498 0.96 0.928 0.946 0.414 0.702 0.652 0.34 0 0.342 0.342 0.112 0.122 0.122
