"Iteration" "Assoc_Stat" "P-val"
"1360" 1360 "SLT" 0.327861059159722
"1366" 1366 "SLT" 0.00345631958340089
"1369" 1369 "SLT" 0.0159808802238592
"1370" 1370 "SLT" 0.0054232841295949
"1372" 1372 "SLT" 2.55724664285328
"1376" 1376 "SLT" 0.00255562011662213
"1380" 1380 "SLT" 0.000721432367762697
"1384" 1384 "SLT" 0.158810084193123
"1387" 1387 "SLT" 1.01516973678273
"1388" 1388 "SLT" 3.23714190152397e-05
"1389" 1389 "SLT" 0.00799138196520881
"1390" 1390 "SLT" 0.0614146211256414
"1394" 1394 "SLT" 0.307857931438454
"1398" 1398 "SLT" 1.45809754594652e-06
"1399" 1399 "SLT" 0.00382869981766746
"1401" 1401 "SLT" 0.000888690724596183
"1404" 1404 "SLT" 0.153817591451323
"1405" 1405 "SLT" 0.14536646138303
"1408" 1408 "SLT" 0.00524016728596505
"1409" 1409 "SLT" 0.0149224437351752
"1412" 1412 "SLT" 0.0025197705658394
"1414" 1414 "SLT" 0.0907231129630929
"1420" 1420 "SLT" 0.0202992051074387
"1421" 1421 "SLT" 0.0391897225178942
"1422" 1422 "SLT" 0.0770951417954394
"1427" 1427 "SLT" 0.00105576093161793
"1428" 1428 "SLT" 0.000865033732918307
"1432" 1432 "SLT" 0.0629161509106921
"1433" 1433 "SLT" 2.34413601058434e-05
"1434" 1434 "SLT" 0.186164483619478
"1436" 1436 "SLT" 8.75868461065059e-05
"1437" 1437 "SLT" 0.00788878603361217
"1438" 1438 "SLT" 0.0781497796523205
"1440" 1440 "SLT" 0.0347549380603373
"1441" 1441 "SLT" 0.00241098033873254
"1448" 1448 "SLT" 0.037172403059465
"1450" 1450 "SLT" 0.101315749747019
"1451" 1451 "SLT" 0.00392483750529003
"1452" 1452 "SLT" 0.0765932325041361
"1454" 1454 "SLT" 0.654182445587427
"1457" 1457 "SLT" 0.0138048598211638
"1458" 1458 "SLT" 0.00550493357063668
"1459" 1459 "SLT" 0.000765182998296488
"1461" 1461 "SLT" 0.0174368494552637
"1467" 1467 "SLT" 0.657152127060518
"1472" 1472 "SLT" 0.0249802223060127
"1477" 1477 "SLT" 0.0310109904979394
"1478" 1478 "SLT" 0.036536452523762
"1480" 1480 "SLT" 8.40821986092395e-06
"1483" 1483 "SLT" 0.737182594284127
"1486" 1486 "SLT" 0.000101589204544496
"1487" 1487 "SLT" 0.000221691718697785
"1490" 1490 "SLT" 0.00423614789370051
"1491" 1491 "SLT" 0.0138456697928617
"1492" 1492 "SLT" 0.0198589482814855
"1494" 1494 "SLT" 5.01720761922712e-05
"1497" 1497 "SLT" 0.0449425741431282
"1499" 1499 "SLT" 0.143392865594739
"1503" 1503 "SLT" 0.494398123818776
"1504" 1504 "SLT" 0.0287004992278308
"1505" 1505 "SLT" 0.00964367757205762
"1509" 1509 "SLT" 0.0122986959776464
"1510" 1510 "SLT" 0.399597170997264
"1512" 1512 "SLT" 0.079447323052149
"1516" 1516 "SLT" 0.594567515371992
"1520" 1520 "SLT" 1.51740624440855e-05
"1521" 1521 "SLT" 0.000235897152708744
"1522" 1522 "SLT" 8.6351176266166e-06
"1527" 1527 "SLT" 0.000105911815419361
"1529" 1529 "SLT" 0.00745220129979303
"1530" 1530 "SLT" 0.318910532095143
"1535" 1535 "SLT" 0.100335831977878
"1536" 1536 "SLT" 0.0192478217244856
"1539" 1539 "SLT" 0.0196793993895104
"1540" 1540 "SLT" 5.37809215232452e-05
"1543" 1543 "SLT" 0.00971190353873949
"1546" 1546 "SLT" 0.182268351570424
"1549" 1549 "SLT" 6.79422294175813e-05
"1550" 1550 "SLT" 0.218143221348891
"1551" 1551 "SLT" 0.429599869685843
"1553" 1553 "SLT" 0.000837885664617389
"1558" 1558 "SLT" 0.0666987243219622
"1561" 1561 "SLT" 0.0171870470492467
"1562" 1562 "SLT" 0.000347685644692176
"1565" 1565 "SLT" 0.0212069250214205
"1566" 1566 "SLT" 0.108874606882053
"1574" 1574 "SLT" 1.41118408512443
"1575" 1575 "SLT" 0.83142471511695
"1576" 1576 "SLT" 0.0302303586105849
"1578" 1578 "SLT" 0.0304695356121143
"1580" 1580 "SLT" 0.0105463545453348
"1583" 1583 "SLT" 0.0124890371552371
"1589" 1589 "SLT" 0.20632190905429
"1590" 1590 "SLT" 0.00152995114169787
"1591" 1591 "SLT" 0.0375693618534712
"1593" 1593 "SLT" 0.32018274788472
"1594" 1594 "SLT" 0.0155010685719524
"1596" 1596 "SLT" 0.699901551589743
"1599" 1599 "SLT" 0.00807363597120427
"1600" 1600 "SLT" 0.00763934758515675
"1602" 1602 "SLT" 0.00648279459419912
"1603" 1603 "SLT" 0.00702741584751115
"1606" 1606 "SLT" 0.0977829595841922
"1609" 1609 "SLT" 0.0207654683275861
"1612" 1612 "SLT" 0.00200621936353656
"1616" 1616 "SLT" 6.62417293533102e-06
"1617" 1617 "SLT" 0.106962322395356
"1618" 1618 "SLT" 0.00798973515632235
"1620" 1620 "SLT" 0.00068967263408377
"1621" 1621 "SLT" 0.0542374568756822
"1627" 1627 "SLT" 0.0619576097491212
"1628" 1628 "SLT" 0.332998122511323
"1629" 1629 "SLT" 0.107549077305664
"1630" 1630 "SLT" 0.386589810190664
"1633" 1633 "SLT" 0.00280705292383789
"1634" 1634 "SLT" 0.0314000966630621
"1635" 1635 "SLT" 0.101783477415165
"1637" 1637 "SLT" 0.184956360982447
"1638" 1638 "SLT" 0.118982811336231
"1640" 1640 "SLT" 0.000862229859625956
"1641" 1641 "SLT" 0.0761818131474412
"1642" 1642 "SLT" 0.14400790521625
"1643" 1643 "SLT" 0.0425950660321073
"1644" 1644 "SLT" 0.00626406774442242
